3.26873814,-0.038235294,29.80614636,29.30885508,-29.99866317
3.045303605,0.011176471,26.36628207,-2.300343873,-29.98815293
3.060246679,0.015294118,-27.2987828,-29.6933698,1.323880345
3.30028463,-0.044117647,28.77361437,27.08035385,24.02412964
3.157969639,0.012941176,29.99755799,26.26090258,29.71768728
3.295066414,0.016470588,-29.96004353,28.86102362,-29.89251693
3.121442125,0.015882353,-25.64130059,-5.881507148,-26.40337217
3.334677419,-0.043529412,22.78196934,-29.60925188,2.051359107
3.258064516,-0.043529412,-29.98875974,20.91035741,19.17851648
3.027988615,0.007647059,-29.50518946,29.15358036,29.76548037
3.077798861,0.003529412,29.07071053,-29.6061865,-29.1064455
3.071394687,0.007647059,-7.537233143,-29.48147896,-29.92739718
3.221526377,0.0132,-29.59712021,20.77135618,3.654502483
3.190227704,0.002352941,29.21251025,-14.12789118,21.99909746
3.349620493,-0.049411765,29.78983253,-29.51197328,29.19284623
3.340132827,-0.045294118,29.55306717,28.90679313,-29.72108615
3.050521822,0.032941176,1.14970161,22.8952936,-21.68147299
3.156072106,0.009411765,-29.92855123,-20.14962137,-0.322252927
3.136385199,0.000588235,26.71108416,27.67211491,23.04664653
3.19544592,0.004117647,29.92032414,29.25475605,29.27689108
3.282969639,0.010588235,-29.92071104,-29.11184915,-29.99094558
3.288187856,0.009411765,-29.94190015,16.0790252,-29.9429752
3.278225806,0.008823529,27.65849846,29.09938382,1.301209807
3.235294118,0.002941176,-28.71538082,-27.27682305,29.76358298
3.283681214,-0.042941176,-29.44158909,-29.99758546,29.6933427
3.240037951,-0.047647059,29.40140331,-29.1438039,-26.23195469
3.281072106,-0.048823529,28.46903322,7.031606228,-17.45514914
3.315939279,-0.045294118,-22.1677516,29.93932968,-1.068305203
3.260910816,-0.022941176,28.79122679,-13.15689902,14.20412708
3.364800759,-0.047647059,29.70750233,-29.27077651,28.3816051
3.17670778,0.008823529,-29.71594575,28.12298141,-26.62830146
3.249288425,-0.031764706,3.883990295,26.25116324,-29.9373747
3.223002452,-0.011426244,29.90085199,-23.95770628,0.909864684
3.058823529,0.007647059,-29.05895255,25.24433714,28.83306761
3.065227704,0.009411765,-29.90161297,29.18182617,29.8852019
3.344639469,-0.05,-29.71815735,-29.80900333,-21.27100088
3.442125237,-0.048823529,2.881755187,-29.99755089,-20.48835857
3.170777989,0.005882353,29.92126934,20.9423924,-0.862904451
3.30455408,-0.023529412,-24.50239406,-29.8522409,21.32477094
3.394924099,0.011176471,-29.7577584,-29.66291615,29.10195286
